LoyalCH,PriceCH,SpecialCH,SalePriceCH,PriceMM,SpecialMM,SalePriceMM,Purchase
0.5,1.75,0,1.75,1.99,0,1.99,CH
0.6,1.75,0,1.75,1.99,1,1.69,CH
0.68,1.86,0,1.69,2.09,0,2.09,CH
0.4,1.69,0,1.69,1.69,0,1.69,MM
0.956535,1.69,0,1.69,1.69,0,1.69,CH
0.965228,1.69,0,1.69,1.99,1,1.99,CH
0.972182,1.69,1,1.69,1.99,1,1.59,CH
0.977746,1.75,1,1.75,1.99,0,1.59,CH
0.982197,1.75,0,1.75,1.99,0,1.59,CH
0.985757,1.75,0,1.75,1.99,0,1.59,CH
0.988606,1.86,0,1.86,2.09,0,2.09,CH
0.990885,1.86,0,1.59,2.13,0,2.13,CH
0.992708,1.99,0,1.99,2.13,1,1.59,CH
0.68,1.86,0,1.86,2.13,0,2.13,CH
0.744,2.06,0,2.06,2.13,0,2.13,CH
0.7952,2.06,0,2.06,2.13,0,2.13,CH
0.5,1.75,0,1.75,1.99,1,1.69,MM
0.4,1.86,0,1.86,2.18,1,2.18,MM
0.32,1.86,0,1.86,2.18,0,2.18,MM
0.5,1.86,0,1.86,2.18,0,2.18,CH
0.6,1.86,0,1.86,2.18,0,2.18,CH
0.68,1.76,0,1.76,2.18,0,2.18,CH
0.744,1.86,0,1.86,2.18,0,2.18,CH
0.7952,1.86,1,1.49,2.13,0,2.13,CH
0.83616,1.86,0,1.86,2.13,0,2.13,CH
0.868928,1.86,1,1.59,2.13,0,2.13,CH
0.895142,1.86,0,1.86,2.13,0,2.13,CH
0.916114,1.86,0,1.86,2.13,0,2.13,CH
0.932891,1.86,1,1.39,2.13,0,1.59,CH
0.946313,2.06,0,2.06,2.13,0,2.13,CH
0.5,1.89,0,1.89,2.09,0,2.09,CH
0.6,1.86,1,1.49,2.13,0,2.13,CH
0.68,1.96,0,1.96,2.18,1,1.38,MM
0.68,1.69,1,1.69,1.69,0,1.69,MM
0.544,1.99,0,1.99,2.23,0,2.23,CH
0.6352,1.99,0,1.99,2.29,0,2.29,CH
0.70816,1.76,0,1.76,2.18,0,2.18,CH
0.7952,1.99,0,1.75,2.13,0,2.13,CH
0.4,1.99,1,1.89,2.09,0,1.69,CH
0.920961,1.79,0,1.79,1.79,1,1.79,CH
0.936769,1.79,0,1.79,1.79,0,1.79,CH
0.949415,1.79,0,1.79,1.79,0,1.79,CH
0.959532,1.79,0,1.79,2.09,0,2.09,CH
0.967626,1.79,0,1.79,2.09,0,2.09,CH
0.9741,1.79,0,1.79,2.09,0,2.09,MM
0.77928,1.79,0,1.79,2.23,0,2.23,CH
0.823424,1.99,0,1.99,2.23,0,2.23,CH
0.858739,1.99,0,1.99,2.23,0,2.23,CH
0.886992,1.99,0,1.99,2.23,0,2.23,CH
0.909593,1.99,0,1.99,2.23,0,2.23,CH
0.927675,1.99,0,1.99,2.23,0,2.23,MM
0.74214,1.99,0,1.99,2.23,0,2.23,CH
0.793712,1.99,0,1.99,2.23,0,2.23,CH
0.834969,1.99,1,1.99,2.29,0,2.29,MM
0.667976,1.99,0,1.99,2.29,0,2.29,CH
0.73438,1.99,0,1.99,2.29,0,2.29,CH
0.787504,1.99,0,1.99,2.29,1,1.89,CH
0.830003,1.99,0,1.99,2.29,0,2.29,CH
0.864003,1.86,0,1.86,2.18,0,2.18,CH
0.891202,1.99,0,1.99,2.29,0,2.29,CH
0.912962,1.99,0,1.99,2.09,0,2.09,CH
0.930369,1.99,0,1.99,2.09,0,2.09,CH
0.944296,1.99,0,1.89,2.09,0,2.09,MM
0.755436,1.99,0,1.89,2.09,0,2.09,CH
0.804349,1.99,0,1.89,2.09,0,2.09,CH
0.843479,1.99,0,1.89,2.09,0,2.09,CH
0.874783,1.99,0,1.89,2.09,0,2.09,MM
0.699827,1.99,0,1.89,2.09,0,2.09,MM
0.559861,1.99,0,1.99,2.09,0,1.69,CH
0.647889,1.99,0,1.99,2.09,0,1.69,CH
0.718311,1.99,0,1.99,2.09,0,1.69,CH
0.774649,2.09,0,2.09,2.09,0,1.69,CH
0.819719,2.09,0,1.89,2.09,0,1.69,CH
0.855775,2.09,0,1.89,2.09,0,2.09,CH
0.68,1.69,0,1.69,1.99,1,1.99,CH
0.744,1.79,0,1.79,2.09,0,2.09,CH
0.7952,1.79,0,1.79,2.23,0,2.23,CH
0.83616,1.99,0,1.99,2.23,0,2.23,CH
0.868928,1.89,0,1.76,2.09,0,2.09,CH
0.895142,1.99,0,1.99,2.29,0,2.29,CH
0.916114,1.99,0,1.99,2.09,0,2.09,CH
0.932891,1.99,0,1.89,2.09,0,2.09,CH
0.946313,1.99,0,1.89,2.09,0,2.09,CH
0.95705,1.99,0,1.99,2.09,0,1.69,CH
0.96564,2.09,0,2.09,2.09,0,1.69,CH
0.972512,1.99,0,1.99,2.18,1,2.18,CH
0.97801,2.09,0,1.89,2.09,0,1.69,CH
0.68,1.99,0,1.99,2.23,0,2.23,CH
0.744,2.09,0,2.09,2.09,0,1.69,CH
0.7952,2.09,0,1.89,2.09,0,1.69,CH
0.5,1.79,0,1.79,2.09,0,2.09,CH
0.6,1.99,0,1.89,2.09,0,2.09,CH
0.5,1.99,0,1.99,2.23,0,2.23,CH
0.6,1.86,0,1.86,2.09,0,1.89,CH
0.5,1.75,0,1.75,1.99,1,1.69,CH
0.6,1.99,0,1.99,2.18,0,2.18,CH
0.4,1.99,0,1.49,2.13,1,2.13,CH
0.744,1.69,0,1.69,1.69,0,1.69,CH
0.7952,1.69,0,1.69,1.69,0,1.69,CH
0.83616,1.69,0,1.69,1.99,0,1.99,CH
0.868928,1.75,0,1.75,1.99,0,1.99,CH
0.895142,1.75,0,1.75,1.99,0,1.99,CH
0.916114,1.75,0,1.75,1.99,1,1.69,CH
0.932891,1.75,0,1.75,1.99,1,1.69,MM
0.746313,1.86,0,1.86,2.09,1,2.09,CH
0.79705,1.89,0,1.89,2.09,0,2.09,CH
0.83764,1.86,0,1.69,2.09,0,2.09,CH
0.870112,1.89,0,1.89,2.09,0,2.09,CH
0.89609,1.89,0,1.89,2.09,0,2.09,CH
0.916872,1.89,0,1.89,2.09,0,2.09,CH
0.933497,1.86,0,1.86,2.09,0,2.09,CH
0.946798,1.99,0,1.99,2.23,0,2.23,MM
0.757438,1.89,0,1.76,2.09,0,2.09,CH
0.805951,1.89,0,1.76,2.09,0,2.09,CH
0.844761,1.89,0,1.76,2.18,0,2.18,CH
0.875808,1.99,0,1.99,2.29,1,1.89,CH
0.900647,1.86,0,1.86,2.18,0,2.18,CH
0.920517,1.86,0,1.86,2.18,0,2.18,CH
0.936414,1.99,0,1.99,2.29,0,2.29,CH
0.949131,1.86,0,1.86,2.18,1,1.78,CH
0.959305,1.86,0,1.86,2.18,0,1.48,CH
0.967444,1.76,0,1.76,1.99,0,1.99,CH
0.973955,1.86,0,1.86,2.18,0,2.18,CH
0.979164,1.86,0,1.86,2.18,1,2.18,CH
0.983331,1.86,0,1.86,2.18,0,2.18,MM
